id;code;subcode;phrase
1;binarism;explicit_binarism;"""Después de su operación, finalmente se convirtió en una mujer completa."""
2;binarism;explicit_binarism;"""Juan dejó atrás su vida como mujer y ahora es un hombre hecho y derecho."""
3;binarism;explicit_binarism;"""María nació biológicamente varón, pero ahora vive como una mujer."""
4;binarism;explicit_binarism;"""Desde pequeño se sintió atrapado en el cuerpo de una chica."""
5;binarism;explicit_binarism;"""Es impresionante cómo logró cambiar de sexo y ahora es una mujer."""
6;binarism;explicit_binarism;"""Aunque nació mujer, siempre se comportó como un chico."""
7;binarism;explicit_binarism;"""Se operó para convertirse en varón y ahora vive como tal."""
8;binarism;explicit_binarism;"""Ella es una mujer trans que luce muy femenina."""
9;binarism;explicit_binarism;"""Logró alcanzar su verdadera identidad como hombre."""
10;binarism;explicit_binarism;"""Aunque era niño al nacer, siempre supo que quería ser niña."""
11;binarism;implicit_binarism;"""El documental narra la vida de varias mujeres trans en zonas rurales."""
12;binarism;implicit_binarism;"""Un travesti fue discriminado por autoridades locales."""
13;binarism;implicit_binarism;"""Las historias de hombres trans muestran los retos del sistema de salud."""
14;binarism;implicit_binarism;"""Una transexual denunció el maltrato en el reclusorio."""
15;binarism;implicit_binarism;"""El testimonio de un hombre trans evidencia la exclusión laboral."""
16;binarism;implicit_binarism;"""Las mujeres trans suelen enfrentarse a mayores niveles de violencia."""
17;binarism;implicit_binarism;"""La policía detuvo a una travesti durante la redada."""
18;binarism;implicit_binarism;"""Los hombres trans también menstrúan, aunque muchos lo ignoran."""
19;binarism;implicit_binarism;"""La asociación apoya a jóvenes transexuales en proceso de transición."""
20;binarism;implicit_binarism;"""Un grupo de travestis protestó frente al Congreso."""
21;binarism;neutral_binarism;"""La persona trans fue rechazada en la clínica por su identidad de género."""
22;binarism;neutral_binarism;"""El colectivo trans exige reformas al sistema legal."""
23;binarism;neutral_binarism;"""Activistas muxes encabezaron la marcha en Oaxaca."""
24;binarism;neutral_binarism;"""Las personas trans enfrentan barreras estructurales en el empleo."""
25;binarism;neutral_binarism;"""Una persona transgénero compartió su experiencia educativa."""
26;binarism;neutral_binarism;"""El informe incluye testimonios de personas trans de distintas regiones."""
27;binarism;neutral_binarism;"""Trans y no binaries participaron en la consulta ciudadana."""
28;binarism;neutral_binarism;"""El texto aborda la historia de las trasvestis en América Latina."""
29;binarism;neutral_binarism;"""Las organizaciones trans propusieron nuevas políticas públicas."""
30;binarism;neutral_binarism;"""El derecho a la identidad trans debe ser garantizado por el Estado."""
31;binarism;no_binary;"""Todes les manifestantes exigieron respeto a la identidad de género."""
32;binarism;no_binary;"""Elle es una persona trans no binaria que trabaja como magistrade."""
33;binarism;no_binary;"""La política debe incluir a personas gestantes sin importar su género."""
34;binarism;no_binary;"""Diverses activistas trans participaron en el foro."""
35;binarism;no_binary;"""Les compañeres trans organizaron una jornada de visibilización."""
36;binarism;no_binary;"""La escuela implementó el uso del lenguaje inclusivo con les alumnes trans."""
37;binarism;no_binary;"""El cartel decía: “Apoyemos a les trans, sin binarios ni prejuicios”."""
38;binarism;no_binary;"""Elles marcharon con orgullo por sus derechos."""
39;binarism;no_binary;"""El boletín mencionaba a las personas menstruantes como grupo vulnerable."""
40;binarism;no_binary;"""La iniciativa busca visibilizar a les trans en el ámbito laboral."""
41;socialization;personal_decision;"""Siempre supe que era una mujer, incluso antes de entender qué significaba eso."""
42;socialization;personal_decision;"""Desde niño, siempre me sentí diferente a lo que veían los demás."""
43;socialization;personal_decision;"""Su decisión fue profundamente personal, basada en lo que sentía desde dentro."""
44;socialization;personal_decision;"""Vivía en un cuerpo equivocado, lo sentía desde que tenía memoria."""
45;socialization;personal_decision;"""Fue una decisión íntima, no algo que alguien pudiera decidir por mí."""
46;socialization;personal_decision;"""Siempre se sintió hombre, incluso cuando el mundo insistía en lo contrario."""
47;socialization;personal_decision;"""Su tránsito fue una forma de alinear su exterior con lo que siempre fue."""
48;socialization;personal_decision;"""Yo no cambié; simplemente me atreví a vivir como siempre me sentí."""
49;socialization;personal_decision;"""No es una moda, es una verdad interior que siempre estuvo ahí."""
50;socialization;personal_decision;"""Aunque nadie lo notara, yo ya había decidido quién era desde hace mucho."""
51;socialization;social_asignation;"""El sexo que me asignaron al nacer no corresponde con quien soy."""
52;socialization;social_asignation;"""Siempre hubo una disforia entre mi cuerpo asignado y mi identidad."""
53;socialization;social_asignation;"""Fue difícil enfrentar la idea de vivir con un sexo que no me representaba."""
